Symbol,Ma ISIN,Ma FIGI,Ten DN Niem Yet,KL dang ky NY,KLLH,Date,Sector
AAA,VN000000AAA4,BBG000BB42R4,Công ty Cổ phần Nhựa An Phát Xanh,"382.274.496,00","382.274.496,00",6/10/16,
AAM,VN000000AAM9,BBG000PDD0V4,Công ty Cổ phần Thủy sản Mekong,"12.346.411,00","10.451.182,00",13/07/2009,
AAT,VN000000AAT4,BBG00YQ95PD2,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,"70.819.103,00","70.819.103,00",29/12/2020,
ABR,VN000000ABR6,BBG00L3G3992,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,"20.000.000,00","20.000.000,00",24/12/2021,
ABS,VN000000ABS4,BBG00R8768Y5,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,"80.000.000,00","80.000.000,00",27/12/2019,
ABT,VN000000ABT2,BBG000QMW140,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,"14.387.207,00","11.777.257,00",6/12/06,
ACB,VN000000ACB8,BBG000GYWBW2,Ngân hàng Thương mại Cổ phần Á Châu,"3.884.050.358,00","3.884.050.358,00",20/11/2020,
ACC,VN000000ACC6,BBG000Q0SR00,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,"104.999.993,00","104.999.993,00",17/06/2011,
ACG,VN000000ACG7,BBG011Z1FN17,Công ty Cổ phần Gỗ An Cường,"150.787.946,00","150.778.346,00",25/08/2022,
ACL,VN000000ACL7,BBG000SW6J73,Công ty Cổ phần Xuất Nhập Khẩu Thủy sản Cửu Long An Giang,"50.159.019,00","50.159.019,00",23/08/2007,
ADG,VN000000ADG5,BBG00R287D22,Công ty Cổ phần Clever Group,"21.380.521,00","21.380.521,00",28/12/2020,
ADP,VN000000ADP6,BBG000Q8Y3B7,Công ty Cổ phần Sơn Á Đông,"23.039.850,00","23.039.850,00",29/06/2023,
ADS,VN000000ADS0,BBG00D60X6Z6,Công ty Cổ phần Damsan,"50.779.034,00","58.394.727,00",22/06/2016,
AGG,VN000000AGG8,BBG00R4CKMT7,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,"125.118.368,00","125.118.368,00",17/12/2019,
AGM,VN000000AGM6,BBG003NWY9K8,Công ty Cổ phần Xuất Nhập Khẩu An Giang,"18.200.000,00","18.200.000,00",14/09/2012,
AGR,VN000000AGR5,BBG000PZH6N7,Công ty Cổ phần Chứng khoán Agribank,"215.391.309,00","215.391.262,00",2/12/09,
AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,"0,00","163.504.874,00",8/6/15,
ANV,VN000000ANV3,BBG000P3VMH4,Công ty Cổ phần Nam Việt,"133.539.625,00","133.127.875,00",28/11/2007,
APC,VN000000APC8,BBG000Q921W1,Công ty Cổ phần Chiếu xạ An Phú,"20.121.395,00","19.905.025,00",22/01/2010,
APG,VN000000APG9,BBG000D4JBN6,Công ty Cổ phần Chứng khoán APG,"146.306.612,00","146.306.612,00",23/09/2016,
APH,VN000000APH7,BBG00W4LTXR5,Công ty Cổ phần Tập đoàn An Phát Holdings,"243.884.268,00","243.884.268,00",14/07/2020,
ASG,VN000000ASG3,BBG00W7CVXM4,Công ty Cổ phần Tập đoàn ASG,"75.653.891,00","75.653.891,00",17/07/2020,
ASM,VN000000ASM1,BBG0014KNPM3,Công ty Cổ phần Tập đoàn Sao Mai,"336.526.752,00","336.526.752,00",24/12/2009,
ASP,VN000000ASP4,BBG000VBSQK0,Công ty Cổ phần Tập đoàn Dầu khí An Pha,"37.339.929,00","37.339.542,00",1/2/08,
AST,VN000000AST6,BBG00JM8H178,Công ty Cổ phần Dịch vụ Hàng không Taseco,"45.000.000,00","45.000.000,00",26/12/2017,
BAF,VN000000BAF1,BBG013T7PJ15,Công ty Cổ phần Nông nghiệp BAF Việt Nam,"143.520.000,00","143.520.000,00",24/11/2021,
BBC,VN000000BBC6,BBG000M98XM0,Công ty Cổ phần BIBICA,"18.752.687,00","18.752.687,00",17/12/2001,
BCE,VN000000BCE0,BBG000R2F295,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,"35.000.000,00","35.000.000,00",15/06/2010,
BCG,VN000000BCG5,BBG009L07188,Công ty Cổ phần Tập đoàn Bamboo Capital,"533.467.622,00","533.467.622,00",8/7/15,
BCM,VN000000BCM3,BBG00K26M6H3,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,"1.035.000.000,00","1.035.000.000,00",31/07/2020,
BFC,VN000000BFC7,BBG0017Z0D76,Công ty Cổ phần Phân bón Bình Điền,"57.167.993,00","57.167.993,00",27/08/2015,
BHN,VN000000BHN0,BBG00F335DJ2,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Hà Nội,"231.800.000,00","231.800.000,00",30/12/2016,
BIC,VN000000BIC1,BBG001YSZ884,Tổng Công ty Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,"117.276.895,00","117.276.895,00",20/06/2011,
BID,VN000000BID9,BBG002CV4JP0,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,"5.058.523.816,00","5.058.523.816,00",16/01/2014,
BKG,VN000000BKG8,BBG00YN5C6J1,Công ty Cổ phần Đầu tư BKG Việt Nam,"68.199.983,00","68.199.983,00",21/12/2020,
BMC,VN000000BMC3,BBG000QMW3B8,Công ty Cổ phần Khoáng sản Bình Định,"12.392.630,00","12.392.630,00",12/12/06,
BMI,VN000000BMI0,BBG000QFQKS4,Tổng Công ty Cổ phần Bảo Minh,"109.623.985,00","109.623.985,00",11/4/08,
BMP,VN000000BMP5,BBG000PV15F4,Công ty Cổ phần Nhựa Bình Minh,"81.860.938,00","81.860.938,00",12/6/06,
BRC,VN000000BRC2,BBG0029S6WT6,Công ty Cổ phần Cao su Bến Thành,"12.374.997,00","12.374.997,00",27/10/2011,
BSI,VN000000BSI7,BBG001WRYLB6,Công ty Cổ phần Chứng khoán BIDV,"202.783.127,00","202.277.467,00",13/07/2011,
BTP,VN000000BTP0,BBG000D2C0D2,Công ty Cổ phần Nhiệt điện Bà Rịa,"60.485.600,00","60.485.600,00",17/11/2009,
BTT,VN000000BTT2,BBG000QK8WN2,Công ty Cổ phần Thương mại – Dịch vụ Bến Thành,"13.500.000,00","13.500.000,00",4/3/10,
BVH,VN000000BVH3,BBG000N1D3C7,Tập đoàn Bảo Việt,"742.322.764,00","742.322.764,00",16/06/2009,
BWE,VN000000BWE8,BBG00H3MN8Z9,Công ty Cổ phần - Tổng Công ty Nước – Môi trường Bình Dương,"192.920.000,00","192.920.000,00",5/7/17,
C32,VN000000C325,BBG00161YQ67,Công ty Cổ phần CIC39,"15.030.145,00","15.030.145,00",6/9/12,
C47,VN000000C473,BBG001LQT7H1,Công ty Cổ phần Xây dựng 47,"33.039.061,00","33.039.061,00",21/03/2011,
CAV,VN000000CAV6,BBG007GFJDV0,Công ty Cổ phần Dây cáp điện Việt Nam,"57.600.000,00","57.489.430,00",28/10/2014,
CCI,VN000000CCI9,BBG000QQTLJ5,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,"17.743.865,00","17.541.105,00",7/4/10,
CCL,VN000000CCL3,BBG001J682G3,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,"53.199.579,00","53.199.579,00",21/01/2011,
CDC,VN000000CDC0,BBG000TS9159,Công ty Cổ phần Chương Dương,"21.988.716,00","21.988.716,00",27/08/2010,
CHP,VN000000CHP3,BBG000QR8VJ4,Công ty Cổ phần Thủy điện Miền Trung,"146.912.668,00","146.912.668,00",10/8/16,
CIG,VN000000CIG0,BBG001VHQTV9,Công ty Cổ phần COMA18,"31.539.947,00","31.539.947,00",1/7/11,
CII,VN000000CII6,BBG000PM3W81,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM,"284.019.513,00","284.019.513,00",24/02/2006,
CKG,VN000000CKG6,BBG00HY73BZ3,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,"95.259.361,00","95.259.361,00",27/12/2019,
CLC,VN000000CLC3,BBG000PT3N95,Công ty Cổ phần Cát Lợi,"26.207.583,00","26.207.583,00",18/10/2006,
CLL,VN000000CLL4,BBG005S5V9Z4,Công ty Cổ phần Cảng Cát Lái,"34.000.000,00","34.000.000,00",19/05/2014,
CLW,VN000000CLW1,BBG001CW14L0,Công ty Cổ phần Cấp nước Chợ Lớn,"13.000.000,00","13.000.000,00",20/10/2010,
CMG,VN000000CMG2,BBG000Q6C4X9,Công ty Cổ phần Tập đoàn Công nghệ CMC,"150.596.032,00","150.596.032,00",13/01/2010,
CMV,VN000000CMV1,BBG000R2F749,Công ty Cổ phần Thương nghiệp Cà Mau,"18.155.868,00","18.155.868,00",9/6/10,
CMX,VN000000CMX7,BBG0018J9MT8,Công ty Cổ phần Camimex Group,"101.898.990,00","101.898.990,00",2/11/10,
CNG,VN000000CNG0,BBG002862FH9,Công ty Cổ phần CNG Việt Nam,"27.000.000,00","35.099.298,00",14/11/2011,
COM,VN000000COM6,BBG000Q07Q78,Công ty Cổ phần Vật tư - Xăng dầu,"14.120.628,00","14.120.628,00",12/5/06,
CRC,VN000000CRC0,BBG00LPH5CG9,Công ty Cổ phần Create Capital Việt Nam,"30.000.000,00","30.000.000,00",7/8/18,
CRE,VN000000CRE6,BBG00LPMQ589,Công ty Cổ phần Bất động sản Thế Kỷ,"463.678.534,00","463.678.426,00",10/8/18,
CSM,VN000000CSM7,BBG000BMBBG4,Công ty Cổ phần Công nghiệp Cao su Miền Nam,"103.626.467,00","103.625.262,00",4/8/09,
CSV,VN000000CSV8,BBG00560N050,Công ty Cổ phần Hóa chất cơ bản miền Nam,"44.200.000,00","44.200.000,00",24/02/2015,
CTD,VN000000CTD4,BBG000JWQL67,Công ty Cổ phần Xây dựng COTECCONS,"78.830.800,00","74.414.258,00",9/12/09,
CTF,VN000000CTF9,BBG00GQ45DG6,Công ty Cổ phần City Auto,"79.818.419,00","79.818.419,00",11/5/17,
CTG,VN000000CTG7,BBG000CYF2P3,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,"4.805.750.609,00","4.805.750.609,00",9/7/09,
CTI,VN000000CTI3,BBG000QD0001,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,"62.999.997,00","54.799.997,00",10/2/10,
CTR,VN000000CTR4,BBG00J25X052,Tổng Công ty Cổ phần Công trình Viettel,"114.385.879,00","114.385.879,00",27/12/2021,
CTS,VN000000CTS2,BBG000NPLGW4,Công ty Cổ phần Chứng khoán Ngân hàng Công Thương Việt Nam,"148.738.311,00","148.701.349,00",13/06/2017,
CVT,VN000000CVT6,BBG000Q9KQS1,Công ty Cổ phần CMC,"36.690.887,00","36.690.887,00",25/09/2017,
D2D,VN000000D2D0,BBG000RSQZC9,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,"30.304.758,00","30.259.742,00",24/06/2009,
DAG,VN000000DAG5,BBG000QMJMD9,Công ty Cổ phần Tập đoàn Nhựa Đông Á,"60.314.112,00","60.312.128,00",1/3/10,
DAH,VN000000DAH3,BBG00DXBD7V6,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,"84.200.000,00","84.200.000,00",30/09/2016,
DAT,VN000000DAT8,BBG009LKLCL9,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,"62.935.104,00","62.935.104,00",6/10/15,
DBC,VN000000DBC2,BBG000TDDSL0,Công ty Cổ phần Tập đoàn DABACO Việt Nam,"242.001.859,00","242.001.859,00",8/7/19,
DBD,VN000000DBD0,BBG00DK7HNN9,Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định,"74.883.559,00","74.843.474,00",24/05/2018,
DBT,VN000000DBT6,BBG000TFWS70,Công ty Cổ phần Dược phẩm Bến Tre,"15.625.477,00","15.625.477,00",4/8/20,
DC4,VN000000DC49,BBG000K04QW9,Công ty Cổ phần Xây dựng DIC Holdings,"52.499.723,00","52.499.723,00",4/9/20,
DCL,VN000000DCL1,BBG000CTDG48,Công ty Cổ phần Dược phẩm Cửu Long,"73.041.030,00","73.041.030,00",3/9/08,
DCM,VN000000DCM9,BBG008D1PSP9,Công ty Cổ phần Phân bón Dầu khí Cà Mau,"529.400.000,00","529.400.000,00",20/03/2015,
DGC,VN000000DGC1,BBG003QTZ0W7,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,"379.779.286,00","379.778.413,00",7/7/20,
DGW,VN000000DGW9,BBG009PTZWQ2,Công ty Cổ phần Thế Giới Số,"163.224.443,00","167.072.974,00",24/07/2015,
DHA,VN000000DHA3,BBG000MC1S96,Công ty Cổ phần Hóa An,"15.119.946,00","14.726.073,00",12/4/04,
DHC,VN000000DHC9,BBG000NDCKV3,Công ty Cổ phần Đông Hải Bến Tre,"80.493.048,00","80.493.048,00",18/06/2009,
DHG,VN000000DHG0,BBG000QKBYX3,Công ty Cổ phần Dược Hậu Giang,"130.746.071,00","130.746.071,00",1/12/06,
DHM,VN000000DHM8,BBG0036JDQP6,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,"31.396.180,00","31.396.180,00",11/7/12,
DIG,VN000000DIG8,BBG000TW9MF3,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,"609.851.995,00","609.851.995,00",12/8/09,
DLG,VN000000DLG2,BBG000R1SL00,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,"299.309.720,00","299.309.720,00",14/06/2010,
DMC,VN000000DMC9,BBG000QMW7W6,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,"34.727.465,00","34.727.465,00",4/12/06,
DPG,VN000000DPG3,BBG00FPG7YB9,Công ty Cổ phần Tập đoàn Đạt Phương,"62.999.554,00","62.999.554,00",9/5/18,
DPM,VN000000DPM1,BBG000TSXTT5,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,"391.400.000,00","391.334.260,00",29/10/2007,
DPR,VN000000DPR0,BBG000TZK061,Công ty Cổ phần Cao su Đồng Phú,"43.442.966,00","43.442.966,00",22/11/2007,
DQC,VN000000DQC0,BBG000VBYTB7,Công ty Cổ phần Tập đoàn Điện Quang,"34.359.416,00","27.558.066,00",14/02/2008,
DRC,VN000000DRC8,BBG000QN52T9,Công ty Cổ phần Cao su Đà Nẵng,"118.792.605,00","118.792.605,00",28/11/2006,
DRH,VN000000DRH7,BBG000BDM3V3,Công ty Cổ phần DRH Holdings,"124.353.866,00","123.707.866,00",13/07/2010,
DRL,VN000000DRL9,BBG002VQBZ67,Công ty Cổ phần Thủy điện - Điện lực 3,"9.500.000,00","9.500.000,00",30/03/2012,
DSN,VN000000DSN3,BBG00176QLZ3,Công ty Cổ phần Công viên nước Đầm Sen,"12.083.009,00","12.083.009,00",17/09/2010,
DTA,VN000000DTA8,BBG000BBD4Z1,Công ty Cổ phần Đệ Tam,"18.059.832,00","18.059.832,00",30/06/2010,
DTL,VN000000DTL5,BBG000QZFN51,Công ty Cổ phần Đại Thiên Lộc,"61.435.604,00","60.630.984,00",28/05/2010,
DTT,VN000000DTT8,BBG000QMCPM9,Công ty Cổ phần Kỹ nghệ Đô Thành,"8.151.820,00","8.151.820,00",6/12/06,
DVP,VN000000DVP2,BBG000PXY2N2,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,"40.000.000,00","40.000.000,00",24/11/2009,
DXG,VN000000DXG7,BBG000Q1XBH9,Công ty Cổ phần Tập đoàn Đất Xanh,"611.779.002,00","610.031.516,00",14/12/2009,
DXS,VN000000DXS2,BBG0118RBF48,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,"453.122.377,00","453.122.377,00",25/06/2021,
DXV,VN000000DXV6,BBG000BM0Y49,Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng,"9.900.000,00","9.900.000,00",24/01/2008,
EIB,VN000000EIB7,BBG000DB3L28,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam,"1.481.404.859,00","1.475.314.859,00",20/10/2009,
ELC,VN000000ELC9,BBG00174Z5S1,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,"58.778.843,00","58.778.843,00",5/10/10,
EVE,VN000000EVE4,BBG001B06374,Công ty Cổ phần Everpia,"41.979.773,00","41.979.773,00",30/11/2010,
EVF,VN000000EVF1,BBG00LLLH0T3,Công ty Tài chính Cổ phần Điện lực,"351.064.031,00","351.064.031,00",21/12/2021,
EVG,VN000000EVG9,BBG00GTSZQV1,Công ty Cổ phần Tập đoàn Everland,"215.249.836,00","215.249.836,00",26/05/2017,
FCM,VN000000FCM4,BBG004JVFZG1,Công ty Cổ phần Khoáng sản FECON,"45.099.969,00","45.099.969,00",8/5/13,
FCN,VN000000FCN2,BBG0036S09C2,Công ty Cổ phần FECON,"157.439.005,00","157.439.005,00",18/07/2012,
FDC,VN000000FDC3,BBG000Q54S85,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,"38.629.988,00","38.623.488,00",25/12/2009,
FIR,VN000000FIR0,BBG00M6GVQ34,Công ty Cổ phần Địa ốc First Real,"64.245.281,00","64.245.281,00",4/10/18,
FIT,VN000000FIT6,BBG009RRQXY3,Công ty Cổ phần Tập đoàn F.I.T,"339.933.034,00","339.933.034,00",7/8/15,
FLC,VN000000FLC6,BBG0024L5Y77,Công ty Cổ phần Tập đoàn FLC,"0,00","709.997.807,00",29/07/2013,
FMC,VN000000FMC4,BBG000QF0PB9,Công ty Cổ phần Thực phẩm Sao Ta,"65.388.889,00","65.388.889,00",20/10/2006,
FPT,VN000000FPT1,BBG000PMZKF4,Công ty Cổ phần FPT,"1.269.968.875,00","1.269.968.875,00",21/11/2006,
FRT,VN000000FRT7,BBG00FF5Y0Y3,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,"136.242.389,00","136.242.389,00",17/04/2018,
FTS,VN000000FTS5,BBG00FQJG160,Công ty Cổ phần Chứng khoán FPT,"214.564.987,00","214.564.987,00",5/1/17,
GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,"0,00","14.903.987,00",3/7/19,
GAS,VN000000GAS3,BBG002YWXH58,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,"1.913.950.000,00","1.913.950.000,00",27/04/2012,
GDT,VN000000GDT5,BBG0014KNPB5,Công ty Cổ phần Chế biến Gỗ Đức Thành,"21.561.092,00","21.167.382,00",3/11/09,
GEG,VN000000GEG0,BBG000BC1CJ2,Công ty Cổ phần Điện Gia Lai,"341.249.401,00","341.249.401,00",28/08/2019,
GEX,VN000000GEX5,BBG00B8G4SB3,Công ty Cổ phần Tập đoàn GELEX,"851.495.793,00","851.495.793,00",28/12/2017,
GIL,VN000000GIL1,BBG000BTBGW0,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,"70.000.000,00","69.999.286,00",28/12/2001,
GMC,VN000000GMC2,BBG000QMCRB7,Công ty Cổ phần Garmex Sài Gòn,"33.000.259,00","32.950.999,00",6/12/06,
GMD,VN000000GMD0,BBG000MB9VF6,Công ty Cổ phần GEMADEPT,"301.377.957,00","301.377.957,00",8/3/02,
GMH,VN000000GMH1,BBG014C267M6,Công ty Cổ phần Minh Hưng Quảng Trị,"16.500.000,00","16.500.000,00",30/12/2021,
GSP,VN000000GSP1,BBG002MZL6Z8,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,"55.799.445,00","55.799.445,00",20/12/2011,
GTA,VN000000GTA1,BBG000RPVCR4,Công ty Cổ phần Chế biến Gỗ Thuận An,"10.400.000,00","9.830.000,00",4/7/07,
GVR,VN000000GVR1,BBG00HPGJ419,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,"4.000.000.000,00","4.000.000.000,00",30/12/2019,
